"credits","dealer_id","name"
7500,3711,"Acton Flooring"
7500,3712,"Alan Petlin Gourmet Floors"
3347,3713,"Albany Tile Supply Co., Inc."
7500,3715,"Allied Floor Covering"
7500,3716,"Artisan Carpets Boise"
7500,3717,"Austin Fine Floors"
7500,3718,"Avalanche Floor Coverings"
407,3719,"B & B Floor Coverings"
7500,3720,"Brooklyn Carpet Exchange"
7500,3721,"Blakley Designer Floors"
7500,3722,"Bradford's Fine Floors"
7500,3723,"Broadway Carpet"
7500,3724,"California Flooring and Slab"
7500,3725,"Carlson's Fine Rugs & Floorcoverings"
6997,3726,"Carpet Crafters Rug Co."
7500,3727,"Carpet Designs"
7500,3728,"Carpet Galleria"
7500,3729,"Carpets and Floors, Inc."
7500,3730,"Clifton Carpets"
7500,3731,"Colin Campbell & Sons"
7500,3732,"Colony Rug Company"
7500,3733,"Contempo Floor Coverings"
7500,3735,"Dalworth Carpet Cleaning"
7500,3736,"Decorative Carpets"
6170,3737,"Designers North Carpet"
7500,3738,"Dominion Rug Sales"
7500,3739,"Donna Michaels, the Carpet & Flooring Store"
4618,3741,"Floor 360"
3429,3742,"Floor Coverings By CPA"
7500,3744,"Floors Beautiful"
7500,3745,"Floors Etc."
7500,3746,"Floors of Distinction"
7500,3747,"Florida Floor Fashions"
5942,3748,"Foremost Carpets and Interiors"
7500,3750,"GDC Home"
7092,3752,"Gina's Design Corner"
7500,3753,"The Ghiordes Knot"
7500,3754,"Hallmark Floor Company"
7500,3755,"Interiors & Textiles"
7500,3756,"Interiors, Inc."
7500,3757,"J & S Designer Flooring"
7500,3758,"J. Asher Carpet Couture"
7500,3759,"Jill's Carpets Mid-Valley Design Center"
6823,3760,"K. Powers & Company"
7500,3761,"Kashou Carpets"
7500,3762,"Landry & Arcari Oriental Rugs & Carpeting"
7500,3763,"Lang Carpet"
4640,3765,"M&M Carpet Showroom"
3050,3766,"M. Austin Designer Floors"
3122,3768,"Messner Carpeting"
7500,3769,"Moorman's Distinctive Carpets and Area Rugs"
7500,3770,"National Floor Covering"
7500,3771,"Neufeldt's"
7500,3772,"Northern Flooring and Interiors"
7500,3773,"Northpark, LLC"
7500,3774,"Peerless Rug Company"
2965,3776,"Regency Royale"
7500,3777,"Sacramento Design Source"
7500,3778,"Select Surfaces"
7500,3779,"Tapestry Design"
7500,3780,"The Carpet Boutique"
7500,3781,"The Carpetman"
7500,3782,"The Rug Gallery"
7500,3783,"The Square Yard"
7500,3784,"Truett Fine Carpets & Rugs"
7500,3785,"W. C. Carpenter, LLC"
7500,3786,"Wagner Carpet Company"
7500,3788,"Allied Floor Covering"
7500,3790,"Hagopian World of Rugs"
