manufacturers_id	color_name	color_image_url	color_category
11	Midnight 	http://mullican.s3.amazonaws.com/images/Castillian-Oak-Midnight.jpg	Mannington Custom
11	Coffee Bean 	http://mullican.s3.amazonaws.com/images/Castillian-Oak-Coffee-Bean.jpg	Mannington Custom
11	Glacier 	http://mullican.s3.amazonaws.com/images/Castillian-Oak-Glacier.jpg	Mannington Custom
11	Sandstone 	http://mullican.s3.amazonaws.com/images/Castillian-Eng.-Oak-Sandstone.jpg	Mannington Custom
11	Espresso	http://mullican.s3.amazonaws.com/images/Castillian-Eng.-Oak-Espresso.jpg	Mannington Custom
11	Driftwood 	http://mullican.s3.amazonaws.com/images/Castillian-Eng.-Oak-Driftwood.jpg	Mannington Custom
11	Natural 	http://mullican.s3.amazonaws.com/images/Castillian-Eng.-Oak-Natural.jpg	Mannington Custom
11	Glacier 	http://mullican.s3.amazonaws.com/images/Castillian-Eng.-Oak-Glacier.jpg	Mannington Custom
11	Midnight 	http://mullican.s3.amazonaws.com/images/Castillian-Eng.-Oak-Midnight.jpg	Mannington Custom
11	Suede	http://mullican.s3.amazonaws.com/images/Castillian-Eng.-Hickory-Suede.jpg	Mannington Custom
11	Mink	http://mullican.s3.amazonaws.com/images/Castillian-Eng.-Hickory-Mink.jpg	Mannington Custom
11	Colonial 	http://mullican.s3.amazonaws.com/images/Castillian Eng. Walnut Colonial.jpg	Mannington Custom
11	Latte	http://mullican.s3.amazonaws.com/images/Castillian-Eng.-Oak-Latte.jpg	Mannington Custom
11	Coffee Bean 	http://mullican.s3.amazonaws.com/images/Castilllian-Eng.-Oak-Coffee-Bean.jpg	Mannington Custom
11	Wine Barrel 	http://mullican.s3.amazonaws.com/images/Castillian Eng. Oak Wine Barrel.jpg	Mannington Custom
12	Natural 	http://mullican.s3.amazonaws.com/images/Exotics-Andiroba-Natural.jpg	Mannington Custom
12	Natural 	http://mullican.s3.amazonaws.com/images/Exotics-Cumaru-Natural.jpg	Mannington Custom
12	Natural 	http://mullican.s3.amazonaws.com/images/Exotics-Brazilian-Cherry-Natural.jpg	Mannington Custom
