manufacturers_id	finial_name	finial_image_url	rod_type	finish
3	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Heritage/SN/Fluted_Acorn.jpg	Fluted	Satin Nickel
3	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Heritage/AP/Fluted_Acorn.jpg	Fluted	Antique Pewter
3	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Heritage/WI/Fluted_Acorn.jpg	Fluted	Wrought Iron
3	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Heritage/PB/Fluted_Acorn.jpg	Roped	Polished Brass
3	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Heritage/BB/Fluted_Acorn.jpg	Roped	Brushed Brass
3	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Heritage/AB/Fluted_Acorn.jpg	Roped	Antique Brass
3	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Heritage/SN/Fluted_Acorn.jpg	Roped	Satin Nickel
3	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Heritage/AP/Fluted_Acorn.jpg	Roped	Antique Pewter
3	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Heritage/WI/Fluted_Acorn.jpg	Roped	Wrought Iron
4	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/PB/Dec_Pine.jpg		Polished Brass
4	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/PB/Dec_Ball.jpg		Polished Brass
4	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/PB/Dec_Urn.jpg		Polished Brass
4	Pyramid	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/PB/Dec_Ball.jpg		Polished Brass
4	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/BB/BB_Dec_Pine.jpg		Brushed Brass
4	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/BB/BB_Dec_Ball.jpg		Brushed Brass
4	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/BB/BB_Dec_Urn.jpg		Brushed Brass
4	Pyramid	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/BB/BB_Dec_Ball.jpg		Brushed Brass
4	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Sovereign/AB/Dec_Pine.jpg		Antique Brass
