manufacturers_id	shape_image_url	height	width	shape_name
23	http://s7d5.scene7.com/is/image/Karastan/35505_33005	96.0	120.0	Rectangle
23	http://s7d5.scene7.com/is/image/Karastan/35505_33005	102.0	138.0	Rectangle
23	http://s7d5.scene7.com/is/image/Karastan/35505_33005	114.0	158.0	Rectangle
23	http://s7d5.scene7.com/is/image/Karastan/35505_33005R	29.0	96.0	Runner
23	http://s7d5.scene7.com/is/image/Karastan/35505_33005R	29.0	144.0	Runner
24	http://s7d5.scene7.com/is/image/Karastan/35505_33008	29.0	48.0	Rectangle
24	http://s7d5.scene7.com/is/image/Karastan/35505_33008	39.0	66.0	Rectangle
24	http://s7d5.scene7.com/is/image/Karastan/35505_33008	66.0	99.0	Rectangle
24	http://s7d5.scene7.com/is/image/Karastan/35505_33008	96.0	120.0	Rectangle
24	http://s7d5.scene7.com/is/image/Karastan/35505_33008	102.0	138.0	Rectangle
24	http://s7d5.scene7.com/is/image/Karastan/35505_33008	114.0	158.0	Rectangle
24	http://s7d5.scene7.com/is/image/Karastan/35505R_33008	29.0	96.0	Runner
24	http://s7d5.scene7.com/is/image/Karastan/35505R_33008	29.0	144.0	Runner
27	http://s7d5.scene7.com/is/image/Karastan/385_29543	42.0	66.0	Rectangle
27	http://s7d5.scene7.com/is/image/Karastan/385_29543	66.0	102.0	Rectangle
27	http://s7d5.scene7.com/is/image/Karastan/385_29543	99.0	138.0	Rectangle
28	http://s7d5.scene7.com/is/image/Karastan/357_29529	44.0	71.0	Rectangle
28	http://s7d5.scene7.com/is/image/Karastan/357_29529	68.0	105.0	Rectangle
28	http://s7d5.scene7.com/is/image/Karastan/357_29529	99.0	140.0	Rectangle
28	http://s7d5.scene7.com/is/image/Karastan/357_29529R	33.0	94.0	Runner
36	http://s7d5.scene7.com/is/image/Karastan/2120R_00538	30.0	0.0	Continuous Runner
37	http://s7d5.scene7.com/is/image/Karastan/2120_00530R	30.0	0.0	Continuous Runner
37	http://s7d5.scene7.com/is/image/Karastan/2120_00530R	30.0	96.0	Runner
37	http://s7d5.scene7.com/is/image/Karastan/2120_00530R	30.0	144.0	Runner
37	http://s7d5.scene7.com/is/image/Karastan/2120_530	30.0	48.0	Rectangle
37	http://s7d5.scene7.com/is/image/Karastan/2120_530	33.0	60.0	Rectangle
37	http://s7d5.scene7.com/is/image/Karastan/2120_530	44.0	60.0	Rectangle
37	http://s7d5.scene7.com/is/image/Karastan/2120_530	67.0	95.0	Rectangle
37	http://s7d5.scene7.com/is/image/Karastan/2120_530	96.0	125.0	Rectangle
37	http://s7d5.scene7.com/is/image/Karastan/2120_530	102.0	138.0	Rectangle
38	http://s7d5.scene7.com/is/image/Karastan/2120_00530R	30.0	0.0	Continuous Runner
41	http://s7d5.scene7.com/is/image/Karastan/2120_00517R	30.0	0.0	Continuous Runner
41	http://s7d5.scene7.com/is/image/Karastan/2120_00517R	30.0	96.0	Runner
41	http://s7d5.scene7.com/is/image/Karastan/2120_00517R	30.0	144.0	Runner
41	http://s7d5.scene7.com/is/image/Karastan/2120_517	30.0	48.0	Rectangle
41	http://s7d5.scene7.com/is/image/Karastan/2120_517	33.0	60.0	Rectangle
41	http://s7d5.scene7.com/is/image/Karastan/2120_517	44.0	60.0	Rectangle
41	http://s7d5.scene7.com/is/image/Karastan/2120_517	67.0	95.0	Rectangle
41	http://s7d5.scene7.com/is/image/Karastan/2120_517	96.0	125.0	Rectangle
41	http://s7d5.scene7.com/is/image/Karastan/2120_517	102.0	138.0	Rectangle
42	http://s7d5.scene7.com/is/image/Karastan/2120R_517	30.0	0.0	Continuous Runner
47	http://s7d5.scene7.com/is/image/Karastan/2200_204	51.0	72.0	Rectangle
47	http://s7d5.scene7.com/is/image/Karastan/2200_204	69.0	108.0	Rectangle
47	http://s7d5.scene7.com/is/image/Karastan/2200_204	104.0	120.0	Rectangle
47	http://s7d5.scene7.com/is/image/Karastan/2200_204	104.0	144.0	Rectangle
47	http://s7d5.scene7.com/is/image/Karastan/2200_204	120.0	168.0	Rectangle
48	http://s7d5.scene7.com/is/image/Karastan/700_719	30.0	51.0	Rectangle
48	http://s7d5.scene7.com/is/image/Karastan/700_719	51.0	72.0	Rectangle
48	http://s7d5.scene7.com/is/image/Karastan/700_719	69.0	108.0	Rectangle
48	http://s7d5.scene7.com/is/image/Karastan/700_719	104.0	126.0	Rectangle
48	http://s7d5.scene7.com/is/image/Karastan/700_719	104.0	144.0	Rectangle
48	http://s7d5.scene7.com/is/image/Karastan/700_719	120.0	168.0	Rectangle
48	http://s7d5.scene7.com/is/image/Karastan/700_719_round	104.0	0.0	Round
48	http://s7d5.scene7.com/is/image/Karastan/B719P	30.0	0.0	Continuous Runner
48	http://s7d5.scene7.com/is/image/Karastan/B719R	30.0	102.0	Runner
49	http://s7d5.scene7.com/is/image/Karastan/700_724	51.0	72.0	Rectangle
49	http://s7d5.scene7.com/is/image/Karastan/700_724	69.0	108.0	Rectangle
49	http://s7d5.scene7.com/is/image/Karastan/700_724	104.0	126.0	Rectangle
49	http://s7d5.scene7.com/is/image/Karastan/700_724	104.0	144.0	Rectangle
49	http://s7d5.scene7.com/is/image/Karastan/700_724	120.0	168.0	Rectangle
49	http://s7d5.scene7.com/is/image/Karastan/B724R	30.0	0.0	Continuous Runner
51	http://s7d5.scene7.com/is/image/Karastan/385_29916	42.0	66.0	Rectangle
51	http://s7d5.scene7.com/is/image/Karastan/385_29916	66.0	102.0	Rectangle
51	http://s7d5.scene7.com/is/image/Karastan/385_29916	99.0	138.0	Rectangle
55	http://s7d5.scene7.com/is/image/Karastan/357_29773	44.0	71.0	Rectangle
55	http://s7d5.scene7.com/is/image/Karastan/357_29773	68.0	105.0	Rectangle
55	http://s7d5.scene7.com/is/image/Karastan/357_29773	99.0	140.0	Rectangle
55	http://s7d5.scene7.com/is/image/Karastan/357_29773R	33.0	94.0	Rectangle
56	http://s7d5.scene7.com/is/image/Karastan/2120_504	30.0	48.0	Rectangle
56	http://s7d5.scene7.com/is/image/Karastan/2120_504	33.0	60.0	Rectangle
56	http://s7d5.scene7.com/is/image/Karastan/2120_504	67.0	95.0	Rectangle
56	http://s7d5.scene7.com/is/image/Karastan/2120_504	96.0	125.0	Rectangle
56	http://s7d5.scene7.com/is/image/Karastan/2120_504	102.0	138.0	Rectangle
56	http://s7d5.scene7.com/is/image/Karastan/2120_504	110.0	156.0	Rectangle
56	http://s7d5.scene7.com/is/image/Karastan/2120-504R	30.0	96.0	Runner
56	http://s7d5.scene7.com/is/image/Karastan/2120-504R	30.0	144.0	Runner
56	http://s7d5.scene7.com/is/image/Karastan/2120R_00504	30.0	0.0	Continuous Runner
57	http://s7d5.scene7.com/is/image/Karastan/385_29924	42.0	66.0	Rectangle
57	http://s7d5.scene7.com/is/image/Karastan/385_29924	66.0	102.0	Rectangle
57	http://s7d5.scene7.com/is/image/Karastan/385_29924	99.0	138.0	Rectangle
58	http://s7d5.scene7.com/is/image/Karastan/700_706	69.0	108.0	Rectangle
58	http://s7d5.scene7.com/is/image/Karastan/700_706	104.0	126.0	Rectangle
58	http://s7d5.scene7.com/is/image/Karastan/700_706	104.0	144.0	Rectangle
58	http://s7d5.scene7.com/is/image/Karastan/B706R	30.0	0.0	Continuous Runner
62	http://s7d5.scene7.com/is/image/Karastan/35505_33011	29.0	48.0	Rectangle
62	http://s7d5.scene7.com/is/image/Karastan/35505_33011	39.0	66.0	Rectangle
62	http://s7d5.scene7.com/is/image/Karastan/35505_33011	66.0	99.0	Rectangle
62	http://s7d5.scene7.com/is/image/Karastan/35505_33011	96.0	120.0	Rectangle
62	http://s7d5.scene7.com/is/image/Karastan/35505_33011	102.0	138.0	Rectangle
62	http://s7d5.scene7.com/is/image/Karastan/35505_33011	114.0	158.0	Rectangle
62	http://s7d5.scene7.com/is/image/Karastan/35505_33011R	29.0	96.0	Runner
62	http://s7d5.scene7.com/is/image/Karastan/35505_33011R	29.0	144.0	Runner
63	http://s7d5.scene7.com/is/image/Karastan/35505_33010	29.0	48.0	Rectangle
63	http://s7d5.scene7.com/is/image/Karastan/35505_33010	39.0	66.0	Rectangle
63	http://s7d5.scene7.com/is/image/Karastan/35505_33010	66.0	99.0	Rectangle
63	http://s7d5.scene7.com/is/image/Karastan/35505_33010	96.0	120.0	Rectangle
63	http://s7d5.scene7.com/is/image/Karastan/35505_33010	102.0	138.0	Rectangle
63	http://s7d5.scene7.com/is/image/Karastan/35505_33010	114.0	158.0	Rectangle
63	http://s7d5.scene7.com/is/image/Karastan/35505_33010R	29.0	96.0	Runner
63	http://s7d5.scene7.com/is/image/Karastan/35505_33010R	29.0	144.0	Runner
66	http://s7d5.scene7.com/is/image/Karastan/35505_33014	29.0	48.0	Rectangle
66	http://s7d5.scene7.com/is/image/Karastan/35505_33014	39.0	66.0	Rectangle
66	http://s7d5.scene7.com/is/image/Karastan/35505_33014	66.0	99.0	Rectangle
66	http://s7d5.scene7.com/is/image/Karastan/35505_33014	96.0	120.0	Rectangle
66	http://s7d5.scene7.com/is/image/Karastan/35505_33014	102.0	138.0	Rectangle
66	http://s7d5.scene7.com/is/image/Karastan/35505_33014	114.0	158.0	Rectangle
66	http://s7d5.scene7.com/is/image/Karastan/ImageNotAvailable	29.0	96.0	Runner
66	http://s7d5.scene7.com/is/image/Karastan/ImageNotAvailable	29.0	144.0	Runner
