manufacturers_id	color_category	color_name
185	Shaw Custom	Biometric	
186	Shaw Custom	Painted Palms	
187	Shaw Custom	Laurel Springs	
188	Shaw Custom	Beaumont	
189	Shaw Custom	Primavera	
190	Shaw Custom	Delray	
191	Shaw Custom	Bungalow	
192	Shaw Custom	Kashan	
193	Shaw Custom	Bentley	
194	Shaw Custom	Buenos Aires	
195	Shaw Custom	Andora	
196	Shaw Custom	Starlight Stroll	
197	Shaw Custom	Versailles	
198	Shaw Custom	Polynesian Palms	
199	Shaw Custom	Christmas Toys	
200	Shaw Custom	Stateroom	
201	Shaw Custom	Verona	
202	Shaw Custom	Isabella	
203	Shaw Custom	Madison Girl	
204	Shaw Custom	Mashhad	
205	Shaw Custom	Chamelon	
206	Shaw Custom	Mystic Canyon	
207	Shaw Custom	Nomadic Elegance	
208	Shaw Custom	Capri	
209	Shaw Custom	Polar Bears	
210	Shaw Custom	Milan	
211	Shaw Custom	English Floral	
212	Shaw Custom	Paradise	
213	Shaw Custom	Volcano Dusk	
214	Shaw Custom	Harrington	
215	Shaw Custom	Nightlife	
216	Shaw Custom	American Jewel	
217	Shaw Custom	Etheridge	
218	Shaw Custom	Italian Garden	
219	Shaw Custom	Domino	
220	Shaw Custom	Royal Riviera	
221	Shaw Custom	Timeless Elegance	
222	Shaw Custom	Lola	
223	Shaw Custom	Orbetello	
224	Shaw Custom	Christmas Tree	
225	Shaw Custom	Circa	
226	Shaw Custom	Italian Vineyard	
227	Shaw Custom	Neo	
228	Shaw Custom	Sedona	
229	Shaw Custom	Cadia	
230	Shaw Custom	Easton	
231	Shaw Custom	Napa	
232	Shaw Custom	Archival Fern	
233	Shaw Custom	Lumani	
234	Shaw Custom	Magnolias	
235	Shaw Custom	Three Shells	
236	Shaw Custom	Taranto	
237	Shaw Custom	Antique Manor	
238	Shaw Custom	Zaria	
239	Shaw Custom	Wynstone	
240	Shaw Custom	El Rey	
241	Shaw Custom	Tahitian Breeze	
242	Shaw Custom	Island Montage	
243	Shaw Custom	Delilah	
244	Shaw Custom	Madison Boy	
245	Shaw Custom	Jungle Tumble	
246	Shaw Custom	Waterbury	
247	Shaw Custom	Casablanca	
248	Shaw Custom	Elise	
249	Shaw Custom	Loft	
250	Shaw Custom	Safari Trellis	
251	Shaw Custom	Roosevelt	
252	Shaw Custom	Promenade	
253	Shaw Custom	Oleander Breeze	
254	Shaw Custom	Emeralda	
255	Shaw Custom	Galaxy	
256	Shaw Custom	Sienna	
257	Shaw Custom	Royal Sultanabad	
258	Shaw Custom	Pinwheel	
259	Shaw Custom	Echo	
260	Shaw Custom	Madrid	
261	Shaw Custom	Prairie	
262	Shaw Custom	Paradise Tiles	
263	Shaw Custom	Union Square	
264	Shaw Custom	Buckingham	
265	Shaw Custom	Marrakech	
266	Shaw Custom	Queen Anne's Lace	
267	Shaw Custom	Love Safari	
268	Shaw Custom	Garden Bloom	
269	Shaw Custom	Canyon Trail	
270	Shaw Custom	Sonnet Border	
271	Shaw Custom	Kalahari	
272	Shaw Custom	Spherescape	
273	Shaw Custom	Monza	
274	Shaw Custom	India	
275	Shaw Custom	Holiday Mix	
276	Shaw Custom	Hollywood	
277	Shaw Custom	Persian Tapestry	
278	Shaw Custom	Pineapple	
279	Shaw Custom	Orbit	
280	Shaw Custom	Jillian's Garden	
281	Shaw Custom	Pomona	
282	Shaw Custom	a La Playa	
283	Shaw Custom	Royal Treasure	
284	Shaw Custom	Dreams And Dogwood	
285	Shaw Custom	Josephine	
286	Shaw Custom	Gio	
287	Shaw Custom	Azhar	
288	Shaw Custom	Palms Away	
289	Shaw Custom	Deco	
